ID_Venda;Data_Venda;ID_Cliente;ID_Produto;Quantidade;Preco_Unitario;Valor_Total;Desconto;Canal;Vendedor
59;2023-06-23;114;48;5;46.76;233.8;0.0;WhatsApp;Vitor
60;2024-02-27;477;52;3;464.07;1252.99;0.1;WhatsApp;Rafaela
61;2023-08-10;365;77;3;224.32;672.96;0.0;Loja Física;Carlos
62;2024-10-09;225;2;1;244.27;244.27;0.0;WhatsApp;Rafaela
63;2023-08-09;100;5;1;677.34;541.87;0.2;WhatsApp;Rafaela
64;2024-11-22;358;30;2;123.93;223.07;0.1;Loja Física;Carlos
65;2022-03-15;185;31;4;310.86;1056.92;0.15;Loja Física;Ana Paula
66;2022-06-27;142;100;1;55.07;52.32;0.05;Online;Carlos
67;2024-03-20;208;76;1;392.72;392.72;0.0;WhatsApp;Vitor
68;2022-05-21;471;12;1;809.97;728.97;0.1;Online;Carlos
69;2025-02-19;469;75;2;713.73;1427.46;0.0;Online;Marcos
70;2023-04-09;311;25;1;591.1;561.54;0.05;Online;Rafaela
71;2022-01-10;134;23;1;71.03;67.48;0.05;WhatsApp;Vitor
72;2025-02-18;38;65;1;949.03;949.03;0.0;Online;Vitor
73;2024-11-17;490;33;1;108.85;97.96;0.1;WhatsApp;Marcos
74;2024-06-25;495;49;1;940.61;846.55;0.1;Online;Ana Paula
75;2023-11-27;493;100;1;55.07;52.32;0.05;WhatsApp;Juliana
76;2025-04-16;442;4;2;912.02;1732.84;0.05;Loja Física;Marcos
77;2022-05-19;196;82;1;596.59;477.27;0.2;Loja Física;Carlos
78;2023-04-16;410;41;1;365.79;347.5;0.05;Online;Rafaela
79;2025-01-02;5;90;1;397.67;318.14;0.2;Online;Ana Paula
80;2023-08-12;48;52;1;464.07;394.46;0.15;WhatsApp;Marcos
81;2022-06-05;284;120;1;702.03;702.03;0.0;Online;Marcos
82;2023-12-26;112;115;1;545.26;490.73;0.1;Online;Ana Paula
83;2025-10-31;477;117;1;160.53;160.53;0.0;Online;Carlos
84;2023-02-13;121;95;1;51.84;51.84;0.0;Online;Ana Paula
85;2023-04-15;104;107;1;742.12;742.12;0.0;WhatsApp;Marcos
86;2022-11-16;399;14;5;87.96;439.8;0.0;Loja Física;Carlos
87;2025-09-20;253;79;1;335.57;335.57;0.0;WhatsApp;Vitor
88;2024-09-14;191;80;3;263.63;790.89;0.0;Online;Rafaela
89;2023-07-17;252;24;1;437.72;350.18;0.2;WhatsApp;Marcos
90;2024-03-25;114;97;2;741.2;1334.16;0.1;Loja Física;Vitor
91;2024-12-12;410;55;2;712.0;1352.8;0.05;WhatsApp;Vitor
92;2024-10-26;178;51;1;180.13;144.1;0.2;WhatsApp;Ana Paula
93;2024-07-25;500;16;1;704.17;598.54;0.15;WhatsApp;Juliana
94;2023-10-09;353;2;1;244.27;244.27;0.0;WhatsApp;Ana Paula
95;2024-02-17;298;13;1;533.84;533.84;0.0;Online;Rafaela
96;2023-06-16;96;71;4;639.85;2559.4;0.0;Loja Física;Marcos
97;2024-08-23;491;79;3;335.57;1006.71;0.0;Online;Ana Paula
98;2024-10-18;218;27;5;148.73;706.47;0.05;WhatsApp;Marcos
99;2024-01-18;438;52;1;464.07;464.07;0.0;Online;Ana Paula
100;2025-03-16;68;74;2;715.59;1216.5;0.15;Loja Física;Vitor
101;2023-07-07;412;31;4;310.86;1119.1;0.1;Online;Juliana
102;2023-02-06;75;103;1;312.55;265.67;0.15;Loja Física;Juliana
103;2022-01-20;91;54;1;484.23;460.02;0.05;Loja Física;Carlos
104;2024-11-24;274;93;2;485.32;970.64;0.0;Online;Marcos
105;2023-05-29;288;110;1;151.04;135.94;0.1;Loja Física;Juliana
106;2022-07-22;354;21;3;650.12;1950.36;0.0;Loja Física;Marcos
107;2024-09-02;430;81;1;437.64;437.64;0.0;Online;Carlos
108;2023-11-17;134;47;2;783.17;1566.34;0.0;WhatsApp;Rafaela
109;2023-06-12;177;3;1;705.03;669.78;0.05;Loja Física;Marcos
110;2025-10-23;494;78;1;129.82;129.82;0.0;WhatsApp;Rafaela
111;2025-08-23;333;69;1;446.95;446.95;0.0;Online;Marcos
112;2023-10-28;345;66;3;712.86;2031.65;0.05;WhatsApp;Juliana
113;2022-06-10;196;79;2;335.57;671.14;0.0;Online;Carlos
114;2022-10-24;445;22;1;253.6;215.56;0.15;Online;Juliana
115;2025-07-16;314;74;1;715.59;679.81;0.05;Loja Física;Vitor
116;2022-11-28;176;30;3;123.93;371.79;0.0;Online;Carlos
117;2023-08-20;364;35;1;64.2;57.78;0.1;WhatsApp;Juliana
118;2023-07-10;455;57;3;62.37;149.69;0.2;Online;Carlos
119;2025-04-17;267;58;1;824.45;783.23;0.05;Loja Física;Ana Paula
120;2022-02-17;65;94;1;579.14;579.14;0.0;WhatsApp;Marcos
121;2022-06-13;108;22;1;253.6;240.92;0.05;Loja Física;Vitor
122;2022-05-11;480;113;1;808.81;768.37;0.05;WhatsApp;Vitor
123;2022-02-23;395;51;2;180.13;324.23;0.1;Loja Física;Vitor
124;2023-06-22;317;20;1;785.51;785.51;0.0;WhatsApp;Juliana
125;2023-09-26;118;32;1;457.26;388.67;0.15;Online;Juliana
126;2025-07-07;65;17;3;31.01;83.73;0.1;Loja Física;Vitor
127;2022-03-13;340;46;1;739.41;591.53;0.2;Online;Juliana
128;2024-08-14;500;112;1;233.92;210.53;0.1;Online;Rafaela
129;2024-06-30;70;90;4;397.67;1431.61;0.1;Loja Física;Rafaela
130;2025-05-08;234;81;2;437.64;743.99;0.15;WhatsApp;Rafaela
131;2024-06-09;269;82;1;596.59;507.1;0.15;WhatsApp;Marcos
132;2023-12-13;247;70;4;1031.73;4126.92;0.0;Loja Física;Juliana
133;2023-09-23;188;53;2;288.06;576.12;0.0;Loja Física;Marcos
134;2022-01-22;1;67;1;497.56;398.05;0.2;Loja Física;Marcos
135;2023-08-11;241;69;1;446.95;446.95;0.0;WhatsApp;Juliana
136;2024-09-04;154;2;2;244.27;390.83;0.2;Online;Marcos
137;2025-05-07;119;102;2;377.13;754.26;0.0;WhatsApp;Marcos
138;2023-01-22;211;113;1;808.81;727.93;0.1;Online;Juliana
139;2023-05-27;84;92;3;1013.22;2583.71;0.15;WhatsApp;Juliana
140;2024-02-14;113;34;2;895.99;1791.98;0.0;Online;Carlos
141;2023-05-06;265;98;1;224.43;179.54;0.2;WhatsApp;Carlos
142;2023-07-11;146;84;1;249.04;211.68;0.15;WhatsApp;Marcos
143;2024-04-25;97;110;1;151.04;151.04;0.0;Loja Física;Ana Paula
144;2023-08-17;57;82;2;596.59;1133.52;0.05;WhatsApp;Juliana
145;2023-07-12;359;80;1;263.63;250.45;0.05;Loja Física;Marcos
146;2022-02-09;78;7;1;588.57;529.71;0.1;Loja Física;Ana Paula
147;2022-07-29;145;35;2;64.2;128.4;0.0;WhatsApp;Juliana
148;2022-01-17;120;12;3;809.97;2429.91;0.0;Loja Física;Juliana
149;2023-03-21;176;54;1;484.23;484.23;0.0;Online;Marcos
150;2024-08-07;357;102;3;377.13;1131.39;0.0;Online;Vitor
151;2022-10-27;29;35;1;64.2;51.36;0.2;Online;Vitor
152;2025-01-17;241;24;3;437.72;1313.16;0.0;Online;Juliana
153;2022-01-26;63;99;1;538.22;457.49;0.15;Loja Física;Juliana
154;2024-06-26;127;95;1;51.84;51.84;0.0;Loja Física;Juliana
155;2022-07-12;267;86;2;485.34;970.68;0.0;Online;Juliana
156;2025-10-27;493;40;1;339.07;339.07;0.0;Loja Física;Carlos
157;2022-03-28;382;120;1;702.03;631.83;0.1;WhatsApp;Vitor
158;2023-06-03;247;82;2;596.59;1193.18;0.0;Loja Física;Marcos
159;2022-04-17;443;86;2;485.34;970.68;0.0;Loja Física;Ana Paula
160;2025-07-20;223;42;2;331.9;663.8;0.0;Loja Física;Marcos
161;2025-04-12;62;51;2;180.13;288.21;0.2;Loja Física;Vitor
162;2022-03-28;298;101;1;166.52;141.54;0.15;Online;Carlos
163;2025-05-06;80;48;1;46.76;37.41;0.2;Loja Física;Ana Paula
164;2022-11-19;256;12;1;809.97;688.47;0.15;WhatsApp;Marcos
165;2025-07-04;31;8;1;536.49;536.49;0.0;WhatsApp;Ana Paula
166;2025-01-03;406;14;4;87.96;351.84;0.0;Online;Ana Paula
167;2023-10-11;286;101;1;166.52;141.54;0.15;Online;Juliana
168;2023-01-31;11;89;1;576.13;547.32;0.05;Online;Carlos
169;2022-10-03;129;116;1;163.51;163.51;0.0;Online;Carlos
170;2024-06-15;287;38;4;864.33;3111.59;0.1;WhatsApp;Juliana
171;2023-01-24;291;24;1;437.72;393.95;0.1;Online;Marcos
172;2024-08-17;141;112;1;233.92;187.14;0.2;WhatsApp;Rafaela
173;2022-11-25;36;68;1;549.39;549.39;0.0;Online;Marcos
174;2023-06-24;278;47;2;783.17;1488.02;0.05;Loja Física;Carlos
175;2024-11-02;195;94;1;579.14;579.14;0.0;Loja Física;Rafaela
176;2024-01-16;398;80;3;263.63;790.89;0.0;Online;Carlos
177;2022-05-10;338;69;4;446.95;1430.24;0.2;Online;Ana Paula
178;2024-12-09;350;64;1;475.77;380.62;0.2;WhatsApp;Ana Paula
179;2025-06-09;145;42;2;331.9;630.61;0.05;WhatsApp;Marcos
180;2022-08-15;50;67;4;497.56;1691.7;0.15;Loja Física;Vitor
181;2022-09-23;92;112;2;233.92;467.84;0.0;Loja Física;Vitor
182;2024-09-21;99;13;1;533.84;533.84;0.0;WhatsApp;Carlos
183;2024-03-06;337;63;1;128.52;115.67;0.1;WhatsApp;Carlos
184;2025-04-23;132;7;2;588.57;1177.14;0.0;Loja Física;Rafaela
185;2022-05-26;7;120;1;702.03;702.03;0.0;WhatsApp;Juliana
186;2022-06-13;240;103;2;312.55;531.34;0.15;Loja Física;Marcos
187;2025-02-16;381;114;4;753.84;2864.59;0.05;Online;Carlos
188;2022-04-30;422;79;4;335.57;1342.28;0.0;WhatsApp;Vitor
189;2022-05-25;428;39;1;82.79;82.79;0.0;Loja Física;Rafaela
190;2022-07-18;52;93;1;485.32;485.32;0.0;WhatsApp;Juliana
191;2023-01-24;99;68;5;549.39;2334.91;0.15;Loja Física;Rafaela
192;2025-07-04;486;23;3;71.03;191.78;0.1;WhatsApp;Rafaela
193;2024-04-30;383;14;1;87.96;70.37;0.2;WhatsApp;Rafaela
194;2024-01-04;346;59;4;842.41;2864.19;0.15;WhatsApp;Juliana
195;2022-08-02;86;102;3;377.13;1131.39;0.0;WhatsApp;Juliana
196;2024-10-30;173;85;1;347.91;347.91;0.0;WhatsApp;Rafaela
197;2024-06-26;478;46;1;739.41;739.41;0.0;WhatsApp;Marcos
198;2024-02-01;212;98;1;224.43;190.77;0.15;Online;Carlos
199;2023-10-25;312;31;1;310.86;279.77;0.1;WhatsApp;Ana Paula
200;2024-02-08;393;71;1;639.85;543.87;0.15;Online;Marcos
201;2024-07-15;230;51;3;180.13;540.39;0.0;WhatsApp;Vitor
202;2023-08-06;306;3;1;705.03;634.53;0.1;Loja Física;Marcos
203;2022-01-14;154;29;1;483.61;483.61;0.0;Online;Vitor
204;2023-07-20;471;71;1;639.85;575.86;0.1;WhatsApp;Rafaela
205;2025-03-16;80;13;1;533.84;533.84;0.0;Online;Marcos
206;2022-11-16;71;34;4;895.99;3583.96;0.0;WhatsApp;Ana Paula
207;2023-04-23;132;104;1;530.39;530.39;0.0;Loja Física;Rafaela
208;2024-03-29;292;118;1;700.37;700.37;0.0;WhatsApp;Vitor
209;2023-10-27;406;62;2;524.4;1048.8;0.0;Online;Carlos
210;2025-03-26;420;117;1;160.53;160.53;0.0;WhatsApp;Carlos
211;2023-09-08;20;94;1;579.14;463.31;0.2;WhatsApp;Juliana
212;2022-06-10;400;8;1;536.49;429.19;0.2;Online;Marcos
213;2024-06-08;214;120;1;702.03;561.62;0.2;Loja Física;Ana Paula
214;2025-08-29;435;78;1;129.82;129.82;0.0;WhatsApp;Carlos
215;2024-02-23;28;40;1;339.07;305.16;0.1;Loja Física;Marcos
216;2025-01-10;290;20;1;785.51;785.51;0.0;WhatsApp;Carlos
217;2023-03-29;79;7;4;588.57;2001.14;0.15;WhatsApp;Juliana
218;2024-07-01;386;77;1;224.32;201.89;0.1;WhatsApp;Vitor
219;2023-03-31;222;38;1;864.33;691.46;0.2;Online;Ana Paula
220;2022-09-28;173;11;2;365.47;694.39;0.05;WhatsApp;Carlos
221;2022-04-11;281;52;1;464.07;464.07;0.0;Loja Física;Juliana
222;2024-10-24;223;100;2;55.07;93.62;0.15;Loja Física;Ana Paula
223;2024-09-11;287;26;1;564.89;536.65;0.05;Online;Carlos
224;2025-03-16;101;72;5;762.45;3431.02;0.1;WhatsApp;Rafaela
225;2023-05-20;125;10;1;532.77;532.77;0.0;Online;Marcos
226;2025-03-25;46;15;1;1028.53;874.25;0.15;Online;Juliana
227;2024-01-19;179;25;1;591.1;591.1;0.0;Online;Rafaela
228;2025-09-04;13;99;5;538.22;2691.1;0.0;Loja Física;Marcos
229;2025-06-16;421;103;1;312.55;296.92;0.05;WhatsApp;Ana Paula
230;2024-06-21;23;119;1;871.75;697.4;0.2;Loja Física;Ana Paula
231;2024-02-05;80;97;1;741.2;630.02;0.15;Loja Física;Vitor
232;2022-04-22;125;80;2;263.63;527.26;0.0;Online;Vitor
233;2023-12-05;356;103;1;312.55;312.55;0.0;Online;Juliana
234;2024-08-22;12;43;3;254.31;762.93;0.0;WhatsApp;Rafaela
235;2023-03-10;105;70;1;1031.73;928.56;0.1;Online;Rafaela
236;2024-09-16;319;94;1;579.14;579.14;0.0;WhatsApp;Carlos
237;2025-09-30;10;49;1;940.61;846.55;0.1;WhatsApp;Rafaela
238;2022-03-31;131;22;1;253.6;253.6;0.0;Online;Ana Paula
239;2025-06-19;139;7;1;588.57;559.14;0.05;WhatsApp;Vitor
240;2022-05-17;199;85;1;347.91;347.91;0.0;WhatsApp;Carlos
241;2024-01-08;443;14;2;87.96;175.92;0.0;Online;Carlos
242;2024-03-02;119;49;1;940.61;846.55;0.1;WhatsApp;Vitor
243;2023-10-09;249;111;1;630.28;567.25;0.1;WhatsApp;Vitor
244;2023-01-17;102;65;1;949.03;901.58;0.05;WhatsApp;Carlos
245;2022-02-14;21;32;1;457.26;411.53;0.1;Online;Marcos
246;2024-09-30;202;96;1;416.6;416.6;0.0;Loja Física;Marcos
247;2023-12-22;182;81;1;437.64;437.64;0.0;Loja Física;Rafaela
248;2023-07-19;416;8;1;536.49;456.02;0.15;Online;Juliana
249;2022-03-02;484;72;3;762.45;2287.35;0.0;Loja Física;Ana Paula
250;2023-12-01;460;51;4;180.13;612.44;0.15;Loja Física;Vitor
251;2024-02-22;267;87;1;75.86;68.27;0.1;WhatsApp;Carlos
252;2023-04-11;214;31;1;310.86;279.77;0.1;Loja Física;Juliana
253;2023-10-02;466;78;2;129.82;259.64;0.0;Online;Rafaela
254;2022-09-27;106;84;1;249.04;249.04;0.0;WhatsApp;Rafaela
255;2023-02-19;442;18;1;792.93;792.93;0.0;WhatsApp;Carlos
256;2024-12-08;466;18;1;792.93;753.28;0.05;Loja Física;Carlos
257;2025-03-02;470;21;2;650.12;1300.24;0.0;Loja Física;Rafaela
258;2024-12-27;486;93;2;485.32;970.64;0.0;Loja Física;Marcos
259;2022-10-26;373;4;1;912.02;729.62;0.2;Online;Juliana
260;2024-04-22;156;57;1;62.37;53.01;0.15;WhatsApp;Carlos
261;2023-07-15;78;100;1;55.07;55.07;0.0;Loja Física;Ana Paula
262;2023-01-14;14;98;2;224.43;403.97;0.1;WhatsApp;Marcos
263;2025-05-25;291;79;1;335.57;335.57;0.0;WhatsApp;Ana Paula
264;2023-04-18;352;4;1;912.02;912.02;0.0;Loja Física;Carlos
265;2024-09-03;69;65;2;949.03;1518.45;0.2;WhatsApp;Juliana
266;2025-08-23;192;24;1;437.72;350.18;0.2;Online;Juliana
267;2024-08-28;71;21;2;650.12;1300.24;0.0;Loja Física;Vitor
268;2024-04-16;392;2;1;244.27;244.27;0.0;Online;Ana Paula
269;2025-10-06;104;97;1;741.2;741.2;0.0;Loja Física;Ana Paula
270;2024-06-18;444;79;1;335.57;318.79;0.05;WhatsApp;Marcos
271;2024-07-26;455;32;2;457.26;868.79;0.05;Online;Vitor
272;2025-05-30;377;106;3;448.29;1277.63;0.05;WhatsApp;Marcos
273;2024-03-18;314;96;3;416.6;1124.82;0.1;WhatsApp;Rafaela
274;2024-12-11;329;113;1;808.81;687.49;0.15;Loja Física;Rafaela
275;2022-08-12;232;59;2;842.41;1347.86;0.2;Loja Física;Ana Paula
276;2024-11-28;276;51;1;180.13;153.11;0.15;Loja Física;Rafaela
277;2024-03-04;265;98;1;224.43;190.77;0.15;Loja Física;Ana Paula
278;2023-08-20;226;51;3;180.13;540.39;0.0;Online;Juliana
279;2022-12-07;217;38;1;864.33;777.9;0.1;Loja Física;Carlos
280;2024-11-24;463;19;1;451.86;429.27;0.05;WhatsApp;Juliana
281;2022-07-05;370;65;1;949.03;949.03;0.0;Loja Física;Rafaela
282;2025-01-24;70;51;1;180.13;171.12;0.05;Online;Juliana
283;2022-02-21;92;59;1;842.41;758.17;0.1;WhatsApp;Ana Paula
284;2024-07-20;47;33;1;108.85;108.85;0.0;WhatsApp;Carlos
285;2022-12-02;368;94;1;579.14;579.14;0.0;Loja Física;Vitor
286;2024-07-09;325;47;3;783.17;2349.51;0.0;WhatsApp;Carlos
287;2024-02-26;373;102;3;377.13;1018.25;0.1;WhatsApp;Ana Paula
288;2024-02-15;282;49;1;940.61;940.61;0.0;Loja Física;Marcos
289;2025-03-04;447;85;1;347.91;278.33;0.2;Loja Física;Ana Paula
290;2022-10-24;92;99;1;538.22;457.49;0.15;Loja Física;Juliana
291;2023-09-23;159;94;1;579.14;463.31;0.2;Online;Marcos
292;2025-07-06;93;16;1;704.17;704.17;0.0;Loja Física;Vitor
293;2025-06-29;392;33;2;108.85;217.7;0.0;Online;Juliana
294;2024-10-18;279;104;1;530.39;530.39;0.0;WhatsApp;Juliana
295;2023-05-03;112;76;1;392.72;333.81;0.15;Online;Juliana
296;2024-04-19;227;11;1;365.47;328.92;0.1;WhatsApp;Vitor
297;2023-05-17;452;71;1;639.85;639.85;0.0;WhatsApp;Carlos
298;2025-02-15;420;106;4;448.29;1793.16;0.0;Loja Física;Ana Paula
299;2022-10-31;29;84;2;249.04;498.08;0.0;Loja Física;Ana Paula
300;2022-03-08;342;74;1;715.59;572.47;0.2;WhatsApp;Marcos
301;2023-11-10;472;12;3;809.97;2429.91;0.0;Loja Física;Juliana
302;2023-01-01;83;87;1;75.86;75.86;0.0;WhatsApp;Carlos
303;2025-05-03;294;101;3;166.52;449.6;0.1;Loja Física;Juliana
304;2025-03-31;185;120;2;702.03;1404.06;0.0;Loja Física;Marcos
305;2023-10-24;189;115;1;545.26;518.0;0.05;Loja Física;Juliana
306;2025-02-01;34;38;1;864.33;821.11;0.05;Loja Física;Vitor
307;2023-07-17;169;68;1;549.39;521.92;0.05;WhatsApp;Ana Paula
308;2023-03-05;314;8;1;536.49;536.49;0.0;WhatsApp;Carlos
309;2025-07-12;271;12;2;809.97;1538.94;0.05;WhatsApp;Carlos
310;2025-05-23;479;101;1;166.52;141.54;0.15;Online;Juliana
311;2025-05-31;435;41;1;365.79;365.79;0.0;WhatsApp;Rafaela
312;2025-06-30;182;119;3;871.75;2615.25;0.0;WhatsApp;Rafaela
313;2024-10-13;267;94;5;579.14;2461.34;0.15;Online;Juliana
314;2023-01-04;453;79;1;335.57;335.57;0.0;WhatsApp;Marcos
315;2023-02-01;1;16;1;704.17;704.17;0.0;Online;Carlos
316;2022-08-30;378;109;1;324.39;324.39;0.0;WhatsApp;Juliana
317;2024-04-27;24;43;1;254.31;254.31;0.0;WhatsApp;Carlos
318;2023-03-11;6;82;4;596.59;2386.36;0.0;WhatsApp;Marcos
319;2023-06-06;405;9;1;481.94;481.94;0.0;Online;Rafaela
320;2025-01-31;166;99;1;538.22;538.22;0.0;Loja Física;Carlos
321;2023-11-14;175;51;1;180.13;153.11;0.15;WhatsApp;Rafaela
322;2022-03-01;427;23;1;71.03;71.03;0.0;Online;Marcos
323;2025-10-09;246;118;2;700.37;1330.7;0.05;Loja Física;Carlos
324;2022-10-06;247;20;3;785.51;2003.05;0.15;Online;Rafaela
325;2023-11-18;237;101;1;166.52;133.22;0.2;Online;Carlos
326;2022-04-25;428;67;1;497.56;497.56;0.0;WhatsApp;Carlos
327;2025-10-20;162;72;1;762.45;686.2;0.1;Loja Física;Ana Paula
328;2025-03-28;351;43;4;254.31;813.79;0.2;Online;Vitor
329;2022-11-02;144;108;3;110.05;330.15;0.0;Online;Juliana
330;2025-07-07;274;108;1;110.05;110.05;0.0;WhatsApp;Rafaela
331;2024-03-08;96;77;2;224.32;448.64;0.0;Online;Carlos
332;2023-10-07;364;5;2;677.34;1354.68;0.0;Online;Vitor
333;2024-10-14;450;31;1;310.86;310.86;0.0;Online;Marcos
334;2023-03-19;269;39;4;82.79;331.16;0.0;Loja Física;Marcos
335;2022-03-18;399;26;1;564.89;564.89;0.0;Online;Rafaela
336;2022-02-21;410;62;1;524.4;471.96;0.1;Loja Física;Ana Paula
337;2023-11-28;473;62;1;524.4;445.74;0.15;WhatsApp;Marcos
338;2023-11-02;74;99;1;538.22;430.58;0.2;Loja Física;Rafaela
339;2025-10-17;68;27;1;148.73;126.42;0.15;Loja Física;Juliana
340;2024-03-04;366;111;2;630.28;1134.5;0.1;Loja Física;Vitor
341;2023-09-29;478;6;1;418.18;355.45;0.15;WhatsApp;Vitor
342;2023-11-14;240;114;2;753.84;1507.68;0.0;Loja Física;Rafaela
343;2025-09-11;382;40;1;339.07;339.07;0.0;WhatsApp;Marcos
344;2025-08-01;457;27;1;148.73;148.73;0.0;Loja Física;Ana Paula
345;2023-08-10;142;69;1;446.95;446.95;0.0;Online;Carlos
346;2022-08-29;140;20;1;785.51;785.51;0.0;Online;Vitor
347;2022-02-01;491;80;2;263.63;474.53;0.1;WhatsApp;Vitor
348;2023-02-28;278;45;1;817.06;735.35;0.1;Online;Marcos
349;2022-10-17;483;91;1;566.07;452.86;0.2;Online;Rafaela
350;2023-05-17;88;10;1;532.77;532.77;0.0;WhatsApp;Marcos
351;2025-01-12;228;7;2;588.57;1177.14;0.0;Loja Física;Juliana
352;2025-10-15;26;14;4;87.96;334.25;0.05;Loja Física;Vitor
353;2024-05-23;201;23;2;71.03;120.75;0.15;WhatsApp;Rafaela
354;2025-07-13;429;89;1;576.13;489.71;0.15;Online;Rafaela
355;2023-12-30;160;43;1;254.31;203.45;0.2;Loja Física;Carlos
356;2025-10-05;415;69;1;446.95;446.95;0.0;Online;Rafaela
357;2022-09-27;48;105;1;508.97;407.18;0.2;WhatsApp;Juliana
358;2022-07-19;234;40;1;339.07;288.21;0.15;WhatsApp;Carlos
359;2024-08-11;241;30;1;123.93;123.93;0.0;Loja Física;Rafaela
360;2023-06-13;468;47;1;783.17;744.01;0.05;Loja Física;Carlos
361;2025-09-24;170;101;1;166.52;133.22;0.2;Online;Juliana
362;2024-09-25;16;9;2;481.94;915.69;0.05;Loja Física;Marcos
363;2024-09-07;237;109;1;324.39;324.39;0.0;Online;Marcos
